scenariusz,odleglosc_m,czestotliwosc_MHz,RSSI_dBm,FSPL_Po_dBm,ITU-R P.1238_Po_dBm,One-Slope_Po_dBm,Motley-Keenan_Po_dBm,Multi-Wall_Po_dBm
indoors,5.0,2412.0,-50.0,5.9330538439173495,-0.6166461994428403,-8.046346242803025,-8.046346242803025,-8.046346242803025
indoors,5.0,5240.0,-59.0,-0.806025826394901,-7.355725869755091,-14.785425913115276,-14.785425913115276,-14.785425913115276
indoors,5.0,5240.0,-49.0,-0.806025826394901,-7.355725869755091,-14.785425913115276,-14.785425913115276,-14.785425913115276
behind the wall,3.0,2412.0,-59.0,10.370028836244472,6.038816289047844,0.8276037418512274,-7.17239625814878,-6.17239625814878
behind the wall,3.0,2412.0,-62.0,10.370028836244472,6.038816289047844,0.8276037418512274,-7.17239625814878,-6.17239625814878
behind the wall,3.0,5240.0,-55.0,3.630949165932222,-0.7002633812644063,-5.911475928461016,-13.911475928461016,-12.911475928461016
between floors,6.0,2412.0,-72.0,4.349428922964847,-17.992083580871594,-11.21359608470803,-22.21359608470803,-22.21359608470803
between floors,6.0,2412.0,-70.0,4.349428922964847,-17.992083580871594,-11.21359608470803,-22.21359608470803,-22.21359608470803
between floors,6.0,2412.0,-67.0,4.349428922964847,-17.992083580871594,-11.21359608470803,-22.21359608470803,-22.21359608470803
outdoors,20.0,2412.0,-85.0,-6.108145982641901,-18.678445939281715,-32.128745895921526,-40.128745895921526,-41.128745895921526
outdoors,20.0,2412.0,-87.0,-6.108145982641901,-18.678445939281715,-32.128745895921526,-40.128745895921526,-41.128745895921526
outdoors,20.0,2412.0,-86.0,-6.108145982641901,-18.678445939281715,-32.128745895921526,-40.128745895921526,-41.128745895921526
